rank,term,bucket,severity,ov,wc,term_ok,infographic_url,reason,ocr_preview
1,Nitrate,bad,1.35,0,10,false,/infographics/nitrate.png,term_not_detected,/outurer) (N) Ar/apimerttempert exopsitrornoring wororeteifzansendialln (0) Drivetrion evenvoonz and firiemeprenettory writer caecner afrining
2,Aftertaste,bad,1.1,0,11,true,/infographics/aftertaste.png,"low_content_or_overlap(wc=11,ov=0.00)","Aftertaste The fawers and spftigrutntusions their anceod thee salins, ther paationing or apfting colies."
3,Ampelography,bad,1.35,0,11,false,/infographics/ampelography.png,term_not_detected,Amppelography The teutes and beceschfs@ of mmivahvivs kUwrogreectuhinvesve foe g Overy ditip phoolbke ww acow mi (dew
4,Autolysis,bad,1.1,0,11,true,/infographics/autolysis.png,"low_content_or_overlap(wc=11,ov=0.00)","7] Autolysis 1S M101: 63) The burzatioss of O.0 uonpicnsterwils O<o0~,)| addelvmenottion ue Xo) PE rage: conurdiuring ’ phoylmemgh Bininns and actory complectis"
5,Muscadet,bad,1.35,0,11,false,/infographics/muscadet.png,term_not_detected,Eaiermmas ira exeble-iofer from the sveetem fidN waung [lx 0Lift Theme wd Sfaugaghe and orfiencayen CL axct
6,Blanc,bad,1.1,0,12,true,/infographics/blanc.png,"low_content_or_overlap(wc=12,ov=0.00)",Blanc /ble.n/ Have hitom maant whuaiweovt four ho maeet or hanade itlo-oat masine wl w. comppnent.
7,Cask,bad,1.35,0,12,false,/infographics/cask.png,term_not_detected,"Jieask Bee roand toneal as na ap), direnr, sut mi alvowarsieind I= de laze the deavne wihior a exsciconbst for dispariss."
8,Cupper,bad,1.1,0,12,true,/infographics/cupper.png,"low_content_or_overlap(wc=12,ov=0.00)",Cupper ( buper]) 1 A coffise profession tetitess ae detienlte ~ quarily through sap: and meckta actosraa senserly judgament
9,Lungo,bad,1.1,0,12,true,/infographics/lungo.png,"low_content_or_overlap(wc=12,ov=0.00)",Lungo | | | / lango/ Oh cecnuairetlocibol ontilage litennasr polocihtesisudel rirmane slbdnerr ano puisnsisia kinelr compounde.
10,Retort,bad,1.35,0,12,false,/infographics/retort.png,term_not_detected,io I< (FaC6T) A = A mermal osacrse ot mon mesa wal to then sasacl junurt Brack @s on [oe] I] [] pterate and and my for arttuant changei
11,Sedimentation,bad,1.35,0,12,false,/infographics/sedimentation.png,term_not_detected,= : Sedimentatior XR Janabtionor riecticart eo | The cetting of suspend ® ¢ eo | aslotstomoBeknonal ®e oo a pesipog audir nm. cignning accicaolity or insufficion hoiyogarzat
12,Sweetness,bad,1.1,0,12,true,/infographics/sweetness.png,"low_content_or_overlap(wc=12,ov=0.00)",Sweetness ( / ow-rtmes/ The senoory implession if 1ngdscore dany esleore icdlt haunds sbibily and. bilterness in coftes.
13,Tempranillo,bad,1.1,0,12,true,/infographics/tempranillo.png,"low_content_or_overlap(wc=12,ov=0.00)",2 2 Tempranillo Slstorloie url Sopreias cerdelna mretdyate pritetmenclav ropriadusiialldel roansker|| loos. Peffanica ctodnutasilalaty
14,Arak,bad,1.35,0,13,false,/infographics/arak.png,term_not_detected,[ah relly] Prad: Au-siamtle a gtaas leyhd the agrinne Fesoelsierumeer or you About smd pamay t‘avoried with arriee.
15,Glycerol,bad,1.35,0,13,false,/infographics/glycerol.png,term_not_detected,"Mp foes Crioprim@na acmiirnafiros Edlrerettl: JiT= rtrerenite (bd Iwopnr mecoxis weno 1s be and essaece Coc bay B alalts,"
16,Muscat,bad,1.1,0,13,true,/infographics/muscat.png,"low_content_or_overlap(wc=13,ov=0.00)","Muscat Incaavlgy Luge fomily of usvwuenc glataie used to with apamling, and to bho nvare with pentcanced flead and glappy pertume."
17,Oenology,bad,1.35,0,13,false,/infographics/oenology.png,term_not_detected,"oO ARES Oenolog (v] = p ) $2 a yihLy - The shouse and priviiic : an commpreniing. inat el nrooriutom, 1aimenc chyalidaion. ssuverge and senesty esxulicanis"
18,Portafilter,bad,1.1,0,13,true,/infographics/portafilter.png,"low_content_or_overlap(wc=13,ov=0.00)",[J G&D) Portafilter — Mytator 9:0% The wacaled avrital Ixelast iremeounily dedoicthe ispertarte an eaiits and acks thst the of undazed during alwraction.
19,Saccharomyces,bad,1.35,0,13,false,/infographics/saccharomyces.png,term_not_detected,0 ) Sacckaromyces nal bs nmpcraas tney [~— A mone permar tort fiuuue mre dders the hhmzaes and culturn discus.
20,Softness,bad,1.1,0,13,true,/infographics/softness.png,"low_content_or_overlap(wc=13,ov=0.00)",Softness [ponling] A soteerry impross ion of emteodulnmucation odlvidoiwamicu reclieme. D) getnpdinatet a porider aurvinn and c.f auulity satictions.
21,Texturization,bad,1.35,0,13,false,/infographics/texturization.png,term_not_detected,"= [exturization I hapldty for exepion / helchgly egion ""The pdymlcenruahliol orspaor saehooelane toanue” va ale. preimeneznmypielsal sliesanay cayosEiuonielh or"
22,Wetmill,bad,1.1,0,13,true,/infographics/wetmill.png,"low_content_or_overlap(wc=13,ov=0.00)","O Wetmill od Advireard 7 A corm surird-ate if theyrapmiedirid . Holrm-ty momneied, roemnen anij, sterity a abediemosh is every cny-shxing."
23,Whirlpool,bad,1.35,0,13,false,/infographics/whirlpool.png,term_not_detected,Whirlpooi \ Ey \ / [Mh yvaretagarol The stsullt raspersia ond trne toasemetve ( boldiesle and the ) coismand a domal core iater bating.
24,Browning,bad,1.1,0,14,true,/infographics/browning.png,"low_content_or_overlap(wc=14,ov=0.00)","[J Browning Theverting 1 Tine Goveagrnent of Recarr Tade Qing, Crased by Hutotnont, In pnotarrm Cceaene that izello alstr Thras."
25,Conductivity,bad,1.1,0,14,true,/infographics/conductivity.png,"low_content_or_overlap(wc=14,ov=0.00)",Conductivity 9 (bopltcittes vsdeesidnnne) o A wativritiaral inferrcee 9 oshevoeterced casnpmed ccimpareo Sofeir stheze wide im atual-feimvser of oeneral cornipantation.
26,Cooling,bad,1.35,0,14,false,/infographics/cooling.png,term_not_detected,"ku tin/ (o] The comrahed -eductiol ; of ve fags the odadnsit © to vige scatuntiy Kalle 01 comildee bewy, and mey (+) bermging (tisereatea: pactuging."
27,Curd,bad,1.35,0,14,false,/infographics/curd.png,term_not_detected,"/Kard / s,V Coubnei the, > | J . consoocea!’ « < 0 pridastian rected od ericerrenen nelst Ps crroughc loce leofs, br cowete, EERE verniginand proceusing."
28,Fluoride,bad,1.1,0,14,true,/infographics/fluoride.png,"low_content_or_overlap(wc=14,ov=0.00)",Fluoride = / flu sraid/ A mraturaelly accureine us nd periaheriteesl tie meclisuny sterds becaouze 8 ohen’s polc and reguiatony complisnos.
29,Green Harvest,bad,1.35,0,14,false,/infographics/green-harvest.png,term_not_detected,"\,\ Ighir; hoiringy 8peén inznesz is im COMPUAris Weeegir; waihmreyraire dese during filasmarra conmage zhd Prinr npening nv litenmny"
30,Macchiato,bad,1.1,0,14,true,/infographics/macchiato.png,"low_content_or_overlap(wc=14,ov=0.00)","Macchiato Thmigroio A= re peency, imarked wihs prpopt nnaissts of with complered, has com temprociats tempery sendary exement."
31,Malic,bad,1.35,0,14,false,/infographics/malic.png,term_not_detected,a 5 \ / MAID/ | MALCA so hterthe aig | trair froarre pice ~~ / and fv-aesomred A and tr pucsen ) and't.atter orl — kever time on the paiccs.
32,Natural,bad,1.35,0,14,false,/infographics/natural.png,term_not_detected,"A procerging metho appperatirng, celiorl . coos chothes ofe moiild o / ©,© (OF'\\ feiurradtiers and me beary theimterb. ge t termentuct Hbit nero"
33,Sparkling,bad,1.1,0,14,true,/infographics/sparkling.png,"low_content_or_overlap(wc=14,ov=0.00)",“+ SPARKLING a [a | spaile. kling: | Ra Walker contauring 6) ‘0 © | avticipnd nettiom oO ° boands that sreatea .°0 alreaorcsatird and 0. a nean madina taistiie profils.
34,Syrah,bad,1.35,0,14,false,/infographics/syrah.png,term_not_detected,SIL'Y Ndrthern Rtidne grane bavs aron [| » presssioriq ddaa: colutom yinne In de la vaxs popor and tirm aaucius
35,Barolo,bad,1.1,0,15,true,/infographics/barolo.png,"low_content_or_overlap(wc=15,ov=0.00)","2% Barolo = roorotee/ Spaiins to wspedind DOGS. Pruxr Pestzen suaich for eyporers a, Ecriknarnes, day raven and lonly agluly aspes"
36,Bourgogne,bad,1.1,0,15,true,/infographics/bourgogne.png,"low_content_or_overlap(wc=15,ov=0.00)","Bourgogne il tuchgore = Enmatha frore for : Bepponele teicidvol by masiitoun sucted roencl . the denat bruomord praices on cexttors, AGC nillels."
37,Cortado,bad,1.1,0,15,true,/infographics/cortado.png,"low_content_or_overlap(wc=15,ov=0.00)",) ) ) Cortado By de’. Sinvorie | D) Orxagrking thislieret T— puallvoeime aoov tior destamy cirote surzem chantmy clolor paacennng cadise faver
38,Cupping,bad,1.1,0,15,true,/infographics/cupping.png,"low_content_or_overlap(wc=15,ov=0.00)","(2 Cupping | — ({ huping/ \ 2S A stramle chaod of \ { trating neailed t wsaenting seffe 9, —— ceaome soure, -_— calitite, bady = = and sutortis Ww LJ actoerrmample aamples"
39,Defect,bad,1.1,0,15,true,/infographics/defect.png,"low_content_or_overlap(wc=15,ov=0.00)",) Defect \ Lnersare Aav doblced fadh kas sied or wiaryid gualty voar ntazilke taking comterrxizp or cap chenitions.
40,Disinfection,bad,1.1,0,15,true,/infographics/disinfection.png,"low_content_or_overlap(wc=15,ov=0.00)","- ial : CP: LJ (L]) Disinfection Diemisjt rarcas sircoure is arermoive, thimke?'trivsbngcjosint a ham s/wlwice bomaorsting aith this in-eng tenssaging on detiisativa."
41,Drymill,bad,1.35,0,15,false,/infographics/drymill.png,term_not_detected,3 D ill £) rymi (devermj) A ura the frucihalls sacretho teutca for cotilb. Commerati the anitoove orvnd allisnts tnrive guilding and Sugging.
42,Fuggles,bad,1.35,0,15,false,/infographics/fuggles.png,term_not_detected,IFcoppl Poeeiit is a pleesie higbtal la.b eoveuy [Sia aaat clasimie and | coven i sochy tveiely formal mn and ae and hall — tradivaral anenness.
43,Gluconacetobacter,bad,1.35,0,15,false,/infographics/gluconacetobacter.png,term_not_detected,", ® = h ——— —_— Cliconaebacter €crecer va welinpan ovat. ovavere 2f ai emionpp Sh fromasoter of ot omlonenclet tromonshbn ar of by omionawdbt framasote ar of ht enionabdh tremoegolan ar of 151 mooneolbioRO000"
